Image,Gender,API score,Human rating
824881698=rbi,m,4.8537,
Deg Smiling=120,m,4.6214,
Philip Choujpeg,m,5.199,
96265151.jpg,m,4.3758,
661308011.png,m,4.1442,
926734678=rbi,m,6.1975,
905878985=rbi,m,4.9053,
96560831=rbi,m,4.5213,
442784814.jpg,m,7.2148,
873522944.jpg,m,6.0811,
197089189.jpg,m,6.3082,
153598548=rbi,m,4.6291,
93389348=rbi,m,4.614,
545142641.jpg,m,4.0273,
Peter Gromov.jpg,m,4.7131,
702856185=rbi,m,5.3305,
Jan Vitek4000,m,5.2555,
93079324.jpg,m,4.3228,
855503038=rbi,m,4.0835,
294795049=rbi,m,8.0324,
Andreas Krause.jpg,m,5.4028,
430753204.png,m,6.0819,
391725280=rbi,m,5.8842,
Jose Principe.png,m,4.6212,
945482230.png,m,4.4799,
529785286.jpg,m,4.3243,
Frank Leymann.jpg,m,4.9644,
Christian Rudder | Photo credit: Victor G. Jeffreys II.png,m,4.095,
702220830.jpg,m,4.1132,
520332659.png,m,4.3289,
773900223=rbi,m,4.1054,
773883125=rbi,m,4.9952,
321381230jpeg,m,4.4317,
Krzysztof Czarnecki.jpg,m,7.0142,
Chris Jurney.jpg,m,6.1776,
512724776.jpg,m,4.2335,
224193199.png,m,5.0521,
Klaus Robert Muller.jpg,m,4.6885,
513006469.png,m,4.2068,
147964518.jpg,m,6.5656,
Michael Carbin8000,m,5.6134,
179631767.jpg,m,4.2089,
299619074.jpg,m,5.1778,
271130371.png,m,6.8557,
751538892.jpg,m,4.1208,
Dr. Ram Kumar Krishnamurthy.jpg,m,4.5225,
613606195.jpg,m,4.2121,
978142425.png,m,6.3035,
508059463.jpg,m,6.9306,
615019794.png,m,4.1421,
64812843.png,m,4.0376,
764056684.jpg,m,6.7852,
chien.jpg,m,6.4202,
160303649=rbi,m,4.4962,
123301964.jpg,m,4.0133,
HTML5 Icon.jpg,m,4.5534,
873783272.jpg,m,4.4802,
445318141.jpg,m,4.2987,
265435549=rbi,m,4.0049,
300757191=rbi,m,6.6955,
Gerhard P. Fettweis.jpg,f,4.5138,
276617087.png,f,9.4335,
890605509.jpg,f,4.3087,
"Photo of Vicky Hanson, ACM.png",f,4.8109,
602668145.jpg,f,4.0094,
243075582.png,f,5.0988,
369725700.jpg,f,5.8762,
146554757.jpg,f,4.1605,
277276459.png,f,7.3231,
8263415=rbi,f,4.1313,
440729790.png,f,4.2644,
847847432.jpg,f,6.6535,
194928658.png,f,5.1763,
Elisa Bertino.jpg,f,4.0029,
363582046jpeg,f,5.9367,
296578742.jpg,f,4.6605,
143665089.jpg,f,4.867,
757048867.png,f,4.9987,
Lynne Parker.jpg,f,4.126,
Matthias Klusch.jpg,f,4.0421,
Vanessa Evers.jpg,f,6.022,
673514726=rbi,f,5.5708,
382238964.jpg,f,4.3529,
Kristen Grauman.jpg,f,9.0895,
893901295jpeg,f,4.1312,
Dmitri Dolgov.jpg,f,4.0896,
857140382=rbi,f,4.3048,
 Ayanna Howard.jpg,f,6.6874,
veloso.jpg,f,4.0003,
Kavita Bala.jpg,f,4.2353,
528394903=rbi,f,4.1746,
Karen Livescu.jpg,f,7.025,
757901865.jpg,f,5.6941,
Yejin Choi.jpg,f,6.705,
An image; Nina Narodytska.jpg,f,4.1674,
87377957.jpg,f,4.5837,
382562136.jpg,f,4.0028,
921147724.jpg,f,4.0001,
530464497.jpg,f,4.9602,
379728179.png,f,4.2589,
